HistoryType,FirstSeenMarketDate,RecordedAtUTC,Ticker,Score,Stage,Price,DrawdownToBottomPct,RecoveryPct,BottomWeeks,VolumeRatio4wVs12w,AverageDollarVolume,DistanceSMA10Pct,DistanceSMA40Pct,DistanceSMA200wPct,Distance52wHighPct,LastDate,Name,Exchange
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,FBK,91.7,ブレイク接近,60.84,17.1,97.0,16,1.41,116258482,6.6,9.7,42.3,-0.5,2026-08-03,FB Financial Corporation Common Stock,NYSE
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,ONC,91.6,ブレイク接近,348.27,27.0,85.8,7,1.77,556264052,16.7,10.9,49.3,-4.8,2026-08-03,BeOne Medicines Ltd. - American Depositary Shares,NASDAQ
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,QTWO,90.8,右肩上がり確認,62.81,37.4,77.9,7,1.24,242452558,21.3,10.3,10.5,-23.6,2026-08-03,"Q2 Holdings, Inc. Common Stock",NYSE
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,CSW,90.6,ブレイク接近,350.68,22.5,127.6,11,1.5,242578755,21.2,22.7,43.0,0.0,2026-08-03,"CSW Industrials, Inc. Common Stock",NYSE
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,CTAS,90.3,ブレイク接近,203.05,18.6,100.0,12,1.37,2235272861,8.1,9.8,22.4,-5.5,2026-08-03,Cintas Corporation - Common Stock,NASDAQ
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,TBBK,90.1,ブレイク接近,69.64,26.1,99.8,9,1.08,146103164,10.1,13.9,46.7,-11.6,2026-08-03,"The Bancorp, Inc. - Common Stock",NASDAQ
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,SSB,89.0,ブレイク接近,108.12,16.8,109.0,10,1.22,449779024,7.2,12.6,29.8,0.0,2026-08-03,SouthState Bank Corporation Common Stock,NYSE
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,RPM,88.9,ブレイク接近,117.36,21.1,101.5,5,1.42,505390642,8.4,11.1,13.3,-6.1,2026-08-03,RPM International Inc. Common Stock,NYSE
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,HBAN,88.7,右肩上がり確認,17.55,21.1,66.0,8,1.39,2085593328,0.7,5.3,29.4,-7.2,2026-08-03,Huntington Bancshares Incorporated - Common Stock,NASDAQ
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,MHK,88.3,ブレイク接近,136.06,27.4,109.5,10,1.3,523117335,17.7,21.6,20.4,-2.3,2026-08-03,"Mohawk Industries, Inc. Common Stock",NYSE
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,RDNT,88.3,ブレイク接近,72.39,28.4,96.2,8,0.97,291338014,16.8,10.1,43.8,-13.2,2026-08-03,"RadNet, Inc. - Common Stock",NASDAQ
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,SBCF,88.1,ブレイク接近,34.55,15.9,98.0,14,1.21,188751963,5.0,9.0,31.7,-0.5,2026-08-03,Seacoast Banking Corporation of Florida - Common Stock,NASDAQ
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,UTZ,87.8,ブレイク接近,14.11,35.3,187.0,12,3.97,276250748,49.4,56.8,3.4,-0.1,2026-08-03,Utz Brands Inc Class A Common Stock ,NYSE
baseline,2026-08-03,2026-08-26T20:11:36.344139+00:00,RITM,87.8,右肩上がり確認,10.19,25.6,65.7,6,1.38,281403264,9.8,4.8,17.2,-10.9,2026-08-03,Rithm Capital Corp. Common Stock,NYSE
