MarketDate,RecordedAtUTC,Ticker,Exchange,Price,Score,Stage,Distance52wHighPct,VolumeRatio4wVs12w,RecoveryPct,BottomWeeks,InScreener,DataDate,WeeklyHigh,WeeklyLow
2026-08-03,2026-08-26T20:13:01.959529+00:00,FBK,NYSE,60.84,91.7,ブレイク接近,-0.5,1.41,97.0,16.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,ONC,NASDAQ,348.27,91.6,ブレイク接近,-4.8,1.77,85.8,7.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,QTWO,NYSE,62.81,90.8,右肩上がり確認,-23.6,1.24,77.9,7.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,CSW,NYSE,350.68,90.6,ブレイク接近,0.0,1.5,127.6,11.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,CTAS,NASDAQ,203.05,90.3,ブレイク接近,-5.5,1.37,100.0,12.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,TBBK,NASDAQ,69.64,90.1,ブレイク接近,-11.6,1.08,99.8,9.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,SSB,NYSE,108.12,89.0,ブレイク接近,0.0,1.22,109.0,10.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,RPM,NYSE,117.36,88.9,ブレイク接近,-6.1,1.42,101.5,5.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,HBAN,NASDAQ,17.55,88.7,右肩上がり確認,-7.2,1.39,66.0,8.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,MHK,NYSE,136.06,88.3,ブレイク接近,-2.3,1.3,109.5,10.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,RDNT,NASDAQ,72.39,88.3,ブレイク接近,-13.2,0.97,96.2,8.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,SBCF,NASDAQ,34.55,88.1,ブレイク接近,-0.5,1.21,98.0,14.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,UTZ,NYSE,14.11,87.8,ブレイク接近,-0.1,3.97,187.0,12.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,RITM,NYSE,10.19,87.8,右肩上がり確認,-10.9,1.38,65.7,6.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,GMAB,NASDAQ,31.25,87.7,右肩上がり確認,-8.8,1.19,70.1,14.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,APAM,NYSE,42.55,87.6,ブレイク接近,-1.7,1.38,99.5,15.0,True,,,
2026-08-03,2026-08-26T20:13:01.959529+00:00,FNB,NYSE,18.97,87.5,ブレイク接近,-1.4,1.49,111.8,8.0,True,,,
